64

Device		5			Channel		4			
Start Test Time		2018.02.24 19:39:14			End Test Time					
Nda File Name		C:\Users\Hydrophilix\Desktop\TC53\_COM5\data\20180224_193914_06_4.nda								

Cycle Data
Cycle ID	Cap_Chg	Cap_DChg	RCap_Chg	RCap_DChg	Efficiency	Engy_Chg	Engy_DChg	
31	1.956	1.957	126.218	126.265	100.04	7.816	7.193	
32	1.955	1.955	126.160	126.140	99.98	7.813	7.183	
33	1.954	1.953	126.039	126.015	99.98	7.808	7.175	
34	1.951	1.951	125.901	125.890	99.99	7.801	7.165	
35	1.950	1.950	125.792	125.790	100.00	7.795	7.159	
36	1.946	1.947	125.557	125.590	100.03	7.782	7.143	
37	1.945	1.945	125.485	125.465	99.98	7.781	7.135	
38	1.942	1.942	125.319	125.290	99.98	7.772	7.121	
39	1.940	1.941	125.185	125.215	100.02	7.765	7.117	
40	1.939	1.940	125.126	125.140	100.01	7.760	7.115	
41	1.937	1.937	124.975	124.939	99.97	7.752	7.099	
42	1.935	1.934	124.810	124.764	99.96	7.744	7.084	
43	1.931	1.931	124.586	124.564	99.98	7.736	7.068	
44	1.928	1.928	124.398	124.389	99.99	7.728	7.055	
45	1.927	1.928	124.325	124.389	100.05	7.723	7.063	
46	1.927	1.928	124.345	124.389	100.04	7.717	7.065	
47	1.926	1.925	124.229	124.189	99.97	7.711	7.048	
48	1.922	1.922	124.025	124.014	99.99	7.703	7.035	
49	1.920	1.920	123.848	123.864	100.01	7.694	7.024	
50	1.918	1.918	123.711	123.764	100.04	7.688	7.017	
51	1.918	1.919	123.748	123.814	100.05	7.686	7.028	
52	1.917	1.918	123.702	123.739	100.03	7.680	7.023	
53	1.916	1.916	123.614	123.614	100.00	7.676	7.009	
54	1.914	1.914	123.492	123.513	100.02	7.670	7.006	
55	1.912	1.913	123.386	123.388	100.00	7.664	6.996	
56	1.910	1.911	123.195	123.263	100.06	7.655	6.990	
57	1.910	1.911	123.229	123.288	100.05	7.653	6.993	
58	1.910	1.910	123.207	123.238	100.03	7.650	6.991	
59	1.907	1.906	123.016	122.963	99.96	7.641	6.966	
60	1.904	1.904	122.835	122.838	100.00	7.635	6.960	
61	1.903	1.904	122.801	122.813	100.01	7.630	6.962	
62	1.902	1.902	122.703	122.738	100.03	7.625	6.956	
63	1.901	1.902	122.671	122.713	100.03	7.622	6.958	
64	1.898	1.899	122.457	122.488	100.03	7.608	6.936	
